movie_id,movie_title,director_name,duration
499549,Avatar ,James Cameron,178
499549,Avatar ,James Cameron,178
499549,Avatar ,James Cameron,178
499549,Avatar ,James Cameron,178
449088,Pirates of the Caribbean: At World's End ,Gore Verbinski,169
449088,Pirates of the Caribbean: At World's End ,Gore Verbinski,169
449088,Pirates of the Caribbean: At World's End ,Gore Verbinski,169
2379713,Spectre ,Sam Mendes,148
2379713,Spectre ,Sam Mendes,148
2379713,Spectre ,Sam Mendes,148
1345836,The Dark Knight Rises ,Christopher Nolan,164
1345836,The Dark Knight Rises ,Christopher Nolan,164
5289954,Star Wars: Episode VII - The Force Awakens             ,Doug Walker,
401729,John Carter ,Andrew Stanton,132
401729,John Carter ,Andrew Stanton,132
401729,John Carter ,Andrew Stanton,132
398286,Tangled ,Nathan Greno,100
398286,Tangled ,Nathan Greno,100
398286,Tangled ,Nathan Greno,100
398286,Tangled ,Nathan Greno,100
398286,Tangled ,Nathan Greno,100
398286,Tangled ,Nathan Greno,100
398286,Tangled ,Nathan Greno,100
2395427,Avengers: Age of Ultron ,Joss Whedon,141
2395427,Avengers: Age of Ultron ,Joss Whedon,141
2395427,Avengers: Age of Ultron ,Joss Whedon,141
417741,Harry Potter and the Half-Blood Prince ,David Yates,153
417741,Harry Potter and the Half-Blood Prince ,David Yates,153
417741,Harry Potter and the Half-Blood Prince ,David Yates,153
417741,Harry Potter and the Half-Blood Prince ,David Yates,153
2975590,Batman v Superman: Dawn of Justice ,Zack Snyder,183
2975590,Batman v Superman: Dawn of Justice ,Zack Snyder,183
2975590,Batman v Superman: Dawn of Justice ,Zack Snyder,183
348150,Superman Returns ,Bryan Singer,169
348150,Superman Returns ,Bryan Singer,169
348150,Superman Returns ,Bryan Singer,169
830515,Quantum of Solace ,Marc Forster,106
830515,Quantum of Solace ,Marc Forster,106
383574,Pirates of the Caribbean: Dead Man's Chest ,Gore Verbinski,151
383574,Pirates of the Caribbean: Dead Man's Chest ,Gore Verbinski,151
383574,Pirates of the Caribbean: Dead Man's Chest ,Gore Verbinski,151
1210819,The Lone Ranger ,Gore Verbinski,150
1210819,The Lone Ranger ,Gore Verbinski,150
1210819,The Lone Ranger ,Gore Verbinski,150
770828,Man of Steel ,Zack Snyder,143
770828,Man of Steel ,Zack Snyder,143
770828,Man of Steel ,Zack Snyder,143
770828,Man of Steel ,Zack Snyder,143
499448,The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,150
499448,The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,150
499448,The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,150
499448,The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,150
1298650,Pirates of the Caribbean: On Stranger Tides ,Rob Marshall,136
1298650,Pirates of the Caribbean: On Stranger Tides ,Rob Marshall,136
1298650,Pirates of the Caribbean: On Stranger Tides ,Rob Marshall,136
1409024,Men in Black 3 ,Barry Sonnenfeld,106
1409024,Men in Black 3 ,Barry Sonnenfeld,106
1409024,Men in Black 3 ,Barry Sonnenfeld,106
1409024,Men in Black 3 ,Barry Sonnenfeld,106
1409024,Men in Black 3 ,Barry Sonnenfeld,106
1409024,Men in Black 3 ,Barry Sonnenfeld,106
2310332,The Hobbit: The Battle of the Five Armies ,Peter Jackson,164
2310332,The Hobbit: The Battle of the Five Armies ,Peter Jackson,164
948470,The Amazing Spider-Man ,Marc Webb,153
948470,The Amazing Spider-Man ,Marc Webb,153
948470,The Amazing Spider-Man ,Marc Webb,153
955308,Robin Hood ,Ridley Scott,156
955308,Robin Hood ,Ridley Scott,156
955308,Robin Hood ,Ridley Scott,156
955308,Robin Hood ,Ridley Scott,156
1170358,The Hobbit: The Desolation of Smaug ,Peter Jackson,186
1170358,The Hobbit: The Desolation of Smaug ,Peter Jackson,186
385752,The Golden Compass ,Chris Weitz,113
385752,The Golden Compass ,Chris Weitz,113
385752,The Golden Compass ,Chris Weitz,113
120338,Titanic ,James Cameron,194
120338,Titanic ,James Cameron,194
3498820,Captain America: Civil War ,Anthony Russo,147
3498820,Captain America: Civil War ,Anthony Russo,147
3498820,Captain America: Civil War ,Anthony Russo,147
1440129,Battleship ,Peter Berg,131
1440129,Battleship ,Peter Berg,131
1440129,Battleship ,Peter Berg,131
1440129,Battleship ,Peter Berg,131
369610,Jurassic World ,Colin Trevorrow,124
